DriftStartIndex,DriftEndIndex,DriftDuration,DriftJulDate,DriftStartLight,DriftEndLight,DriftAvgLight,DriftStartDepth,DriftEndDepth,DriftAvgDepth,DriftStartGMT,DiveStartLight,DriftRate,TOPPID,DaysSinceDeparture,SmoothSunriseHour,HoursSinceSunrise,SmoothSunsetHour,HoursSinceSunset,SmoothDaylength,TimeOfDay,Col
28,106,624,732102.44,27,29,30.3584,153,169.5,145.3584,10.561104,85,-0.285,2004018,6.408796593,12.40921933,-1.84811533,4.409742748,6.151361252,16.00052341,Night,darkblue
24,110,688,732107.5655,57,18,48.45428157,212,365.5,277.0638607,13.572216,165,-0.315,2004018,11.53425922,12.48408973,1.08812627,4.839737704,8.732478296,16.37200514,Day,yellow4
23,128,840,732107.5825,63,43,56.19143876,214.5,294,262.3644471,13.978896,165,-0.325,2004018,11.55120363,12.48408973,1.49480627,4.839737704,9.139158296,16.37200514,Day,yellow4
28,113,680,732107.9823,64,22,51.91629956,259.5,446.5,308.1688693,23.574456,145,-0.3,2004018,11.95101859,12.48408973,11.09036627,4.839737704,18.7347183,16.37200514,Day,yellow4
28,115,696,732108.001,63,19,49.80057389,247.5,543,333.5086083,0.023328,183,-0.315,2004018,11.96972259,12.48408973,-12.46076173,4.839737704,-4.816409704,16.37200514,Day,yellow4
25,121,768,732108.6533,57,107,52.55396619,237.5,128,284.293238,15.678888,139,-0.305,2004018,12.62203681,12.50057183,3.17831617,4.935849211,10.74303879,16.45175948,Day,yellow4
30,132,816,732108.6717,53,46,54.44430845,251.5,303,287.6572827,16.121112,175,-0.335,2004018,12.64046278,12.50057183,3.62054017,4.935849211,11.18526279,16.45175948,Day,yellow4
27,114,696,732109.6069,52,16,45.86226686,224,320.5,275.9354376,14.565552,166,-0.33,2004018,13.575648,12.51912886,2.04642314,5.03345733,9.53209467,16.5328855,Day,yellow4
27,119,736,732109.6601,51,159,55.44233379,237,14,265.6838535,15.843336,143,-0.305,2004018,13.628889,12.51912886,3.32420714,5.03345733,10.80987867,16.5328855,Day,yellow4
23,97,592,732110.635,63,173,69.67284992,217.5,0,219.203204,15.241104,167,-0.35,2004018,14.60379663,12.53742646,2.70367754,5.130201108,10.11090289,16.61107225,Day,yellow4
25,106,648,732112.593,51,18,52.41756549,232,435,270.1024653,14.232216,160,-0.32,2004018,16.56175881,12.59481355,1.63740245,5.318520768,8.913695232,16.75252145,Day,yellow4
28,120,736,732112.6091,59,47,57.9972863,229.5,292.5,275.3941655,14.61888,172,-0.295,2004018,16.57787059,12.59481355,2.02406645,5.318520768,9.300359232,16.75252145,Day,yellow4
25,101,608,732114.6555,72,21,69.19868637,204,400,229.0771757,15.732216,168,-0.34,2004018,18.62425881,12.67293919,3.05927681,5.527197907,10.20501809,16.85522256,Day,yellow4
29,91,496,732114.8545,96,108,159.0985915,178.5,140,57.24748491,20.507784,195,-0.34,2004018,18.82324119,12.67293919,7.83484481,5.527197907,14.98058609,16.85522256,Day,yellow4
13,88,600,732114.8976,142,189,151.8968386,59,0,59.87853577,21.543336,191,-0.315,2004018,18.8663887,12.67293919,8.87039681,5.527197907,16.01613809,16.85522256,Day,yellow4
13,93,640,732114.9386,141,21,114.0530421,63.5,420,128.3790952,22.52556,192,-0.34,2004018,18.9073147,12.67293919,9.85262081,5.527197907,16.99836209,16.85522256,Day,yellow4
18,137,952,732114.9875,115,47,59.37880378,117,236.5,309.2172088,23.698896,187,-0.335,2004018,18.95620367,12.67293919,11.02595681,5.527197907,18.17169809,16.85522256,Day,yellow4
24,120,768,732115.008,77,143,60.40312094,208.5,2,320.7938882,0.192216,187,-0.31,2004018,18.97675922,12.67293919,-12.48072319,5.527197907,-5.334981907,16.85522256,Day,yellow4
30,105,600,732116.6658,71,58,67.70715474,234.5,281,248.3935108,15.978888,186,-0.29,2004018,20.63453678,12.76990925,3.20897875,5.665855511,10.31303249,16.94506255,Day,yellow4
34,124,720,732118.8429,78,42,66.52427184,264.5,358.5,291.1317614,20.230008,197,-0.29,2004018,22.81166715,12.90963427,7.32037373,5.803771613,14.42623639,16.96368329,Day,yellow4
27,93,528,732123.642,71,33,121.4253308,203.5,336,118.1162571,15.407784,172,-0.325,2004018,27.610741,13.33776531,2.07001869,6.045176231,9.362607769,16.79563707,Day,yellow4
26,99,584,732124.6107,61,78,59.04444444,207,168,244.5076923,14.656656,159,-0.345,2004018,28.57944441,13.42621241,1.23044359,6.076273755,8.580382245,16.73850844,Day,yellow4
28,124,768,732124.6258,54,111,68.72951886,236.5,99,226.6586476,15.018888,156,-0.315,2004018,28.59453659,13.42621241,1.59267559,6.076273755,8.942614245,16.73850844,Day,yellow4
65,116,408,732127.8852,27,18,55.66992665,356.5,431.5,290.1112469,21.245544,184,-0.325,2004018,31.85398152,13.69875128,7.54679272,6.161692455,15.08385155,16.55236831,Day,yellow4
28,102,592,732129.0179,58,162,64.96964587,270.5,9.5,256.381113,0.430008,190,-0.34,2004018,32.98666659,13.78757389,-13.35756589,6.187522286,-5.757514286,16.488771,Day,yellow4
27,102,600,732130.6488,61,59,60.80865225,252,301.5,269.4184692,15.572232,169,-0.305,2004018,34.617593,13.94971343,1.62251857,6.237965603,9.334266397,16.36917663,Day,yellow4
25,104,632,732131.6636,69,23,61.02527646,237,397.5,278.2511848,15.92556,169,-0.325,2004018,35.63231481,14.02857337,1.89698663,6.262767047,9.662792953,16.31305362,Day,yellow4
25,121,768,732131.6789,76,123,59.04551365,231.5,82,307.0383615,16.29444,174,-0.33,2004018,35.64768481,14.02857337,2.26586663,6.262767047,10.03167295,16.31305362,Day,yellow4
27,100,584,732132.687,71,21,62.84615385,247,490,268.2239316,16.487784,172,-0.295,2004018,36.655741,14.10663005,2.38115395,6.286512146,10.20127185,16.25793878,Day,yellow4
28,106,624,732132.8844,77,34,66.8464,272,374,292.4792,21.225552,187,-0.32,2004018,36.85314859,14.10663005,7.11892195,6.286512146,14.93903985,16.25793878,Day,yellow4
28,81,424,732135.6586,68,45,59.98352941,242,292.5,273.9776471,15.80556,174,-0.325,2004018,39.62731459,14.32892777,1.47663223,6.366300478,9.439259522,16.10677787,Day,yellow4
29,137,864,732135.6967,69,81,53.82427746,259.5,220,350.6242775,16.721112,180,-0.29,2004018,39.66546319,14.32892777,2.39218423,6.366300478,10.35481152,16.10677787,Day,yellow4
32,131,792,732137.8101,81,18,66.19546028,286.5,581,372.57314,19.443336,186,-0.275,2004018,41.77888896,14.46529826,4.97803774,6.428594653,13.01474135,16.03000533,Day,yellow4
28,111,664,732138.7354,81,149,69.71278195,267,34.5,288.5924812,17.650008,180,-0.285,2004018,42.70416659,14.51797008,3.13203792,6.45855027,11.19145773,15.99325201,Day,yellow4
24,107,664,732139.7381,76,118,61.25714286,239,92,317.3112782,17.714448,179,-0.295,2004018,43.70685222,14.57530854,3.13913946,6.488993901,11.2254541,15.97102382,Day,yellow4
23,121,784,732139.7589,82,133,63.40509554,246.5,61,362.5101911,18.21444,183,-0.29,2004018,43.72768563,14.57530854,3.63913146,6.488993901,11.7254461,15.97102382,Day,yellow4
26,110,672,732139.8963,80,55,77.49925706,276,296,256.2771174,21.51,183,-0.305,2004018,43.86500041,14.57530854,6.93469146,6.488993901,15.0210061,15.97102382,Day,yellow4
25,80,440,732139.9117,86,146,74.08390023,263.5,45.5,262.314059,21.881112,189,-0.3,2004018,43.88046281,14.57530854,7.30580346,6.488993901,15.3921181,15.97102382,Day,yellow4
22,93,568,732139.9266,94,68,75.16168717,242.5,294,255.4420035,22.23888,195,-0.28,2004018,43.89537004,14.57530854,7.66357146,6.488993901,15.7498861,15.97102382,Day,yellow4
23,84,488,732139.941,88,59,79.07157464,241.5,263.5,243.1206544,22.583328,188,-0.3,2004018,43.90972263,14.57530854,8.00801946,6.488993901,16.0943341,15.97102382,Day,yellow4
22,93,568,732139.985,89,28,75.56063269,234.5,390.5,250.0711775,23.641104,196,-0.265,2004018,43.95379604,14.57530854,9.06579546,6.488993901,17.1521101,15.97102382,Day,yellow4
25,107,656,732140.7495,76,90,65.64383562,231,204,307.304414,17.987784,177,-0.285,2004018,44.71824081,14.63270985,3.35507415,6.517373831,11.47041017,15.94206529,Day,yellow4
25,115,720,732140.7695,81,19,61.37725381,238.5,662,377.7898752,18.467784,180,-0.265,2004018,44.73824081,14.63270985,3.83507415,6.517373831,11.95041017,15.94206529,Day,yellow4
27,134,856,732141.7141,68,17,52.89148191,270,462.5,354.4463244,17.13888,181,-0.305,2004018,45.68287,14.6901505,2.4487295,6.545967444,10.59291256,15.91325759,Day,yellow4
30,105,600,732143.072,76,17,55.67554077,261.5,485.5,347.437604,1.727784,191,-0.29,2004018,47.04074078,14.74753936,-13.01975536,6.571823526,-4.844039526,15.88167303,Day,yellow4
26,111,680,732143.6756,61,61,56.75770925,246,299,274.8399413,16.214448,159,-0.29,2004018,47.64435141,14.79831436,1.41613364,6.597558278,9.616889722,15.85001892,Day,yellow4
26,110,672,732143.7094,66,31,62.86181278,243,369,273.3632987,17.025552,169,-0.295,2004018,47.67814841,14.79831436,2.22723764,6.597558278,10.42799372,15.85001892,Day,yellow4
28,117,712,732143.7462,77,66,66.08134642,250,305,300.0364656,17.907768,181,-0.29,2004018,47.71490759,14.79831436,3.10945364,6.597558278,11.31020972,15.85001892,Day,yellow4
27,128,808,732143.7667,82,17,60.00865266,244.5,557.5,375.0321384,18.401112,186,-0.27,2004018,47.735463,14.79831436,3.60279764,6.597558278,11.80355372,15.85001892,Day,yellow4
26,108,656,732144.742,75,182,61.62557078,244.5,0,281.1712329,17.807784,181,-0.26,2004018,48.71074041,14.84851478,2.95926922,6.618715371,11.18906863,15.82040101,Day,yellow4
28,139,888,732144.7853,78,78,64.68278965,241,242.5,329.1884139,18.847776,186,-0.29,2004018,48.75407359,14.84851478,3.99926122,6.618715371,12.22906063,15.82040101,Day,yellow4
27,141,912,732144.8064,79,25,64.33953998,239,699,361.0947426,19.35444,186,-0.26,2004018,48.775185,14.84851478,4.50592522,6.618715371,12.73572463,15.82040101,Day,yellow4
25,110,680,732145.7389,77,137,64.59324523,216.5,44,272.5792952,17.73444,173,-0.255,2004018,49.70768481,14.8973224,2.8371176,6.639685456,11.09475454,15.79117068,Day,yellow4
24,127,824,732145.7588,83,18,59.54181818,217.5,522,302.1793939,18.212232,181,-0.275,2004018,49.72759222,14.8973224,3.3149096,6.639685456,11.57254654,15.79117068,Day,yellow4
76,129,424,732146.9734,51,82,73.35294118,365.5,228,280.8094118,23.36112,202,-0.29,2004018,50.94213004,14.94588765,8.41523235,6.658021598,16.7030984,15.7606992,Day,yellow4
28,127,792,732146.9889,82,19,61.7074401,258.5,609,395.7282472,23.73444,197,-0.245,2004018,50.95768559,14.94588765,8.78855235,6.658021598,17.0764184,15.7606992,Day,yellow4
23,80,456,732147.6784,68,26,54.93873085,232.5,381.5,281.3490153,16.28112,170,-0.28,2004018,51.64712963,14.99717508,1.28394492,6.67640172,9.60471828,15.73051407,Day,yellow4
26,108,656,732147.7105,65,183,50.74885845,270,0,313.5076104,17.052216,170,-0.29,2004018,51.67925941,14.99717508,2.05504092,6.67640172,10.37581428,15.73051407,Day,yellow4
25,121,768,732147.7314,69,19,52.91157347,279.5,640.5,370.0331599,17.55444,176,-0.26,2004018,51.70018481,14.99717508,2.55726492,6.67640172,10.87803828,15.73051407,Day,yellow4
25,120,760,732147.7531,69,20,53.1064389,272,357,409.0604468,18.074448,182,-0.26,2004018,51.72185181,14.99717508,3.07727292,6.67640172,11.39804628,15.73051407,Day,yellow4
27,100,584,732147.9199,75,22,59.34529915,290.5,471,337.0393162,22.076664,195,-0.255,2004018,51.888611,14.99717508,7.07948892,6.67640172,15.40026228,15.73051407,Day,yellow4
27,106,632,732148.7439,65,52,52.35229068,274.5,339.5,317.4810427,17.85444,178,-0.275,2004018,52.712685,15.04913902,2.80530098,6.694351893,11.16008811,15.69717681,Day,yellow4
28,85,456,732148.7664,65,184,58.75054705,278,0,302.4737418,18.39444,175,-0.24,2004018,52.73518559,15.04913902,3.34530098,6.694351893,11.70008811,15.69717681,Day,yellow4
27,113,688,732149.7597,78,116,66.42960813,261.5,102.5,284.5275762,18.232224,182,-0.27,2004018,53.728426,15.09886253,3.13336147,6.712312853,11.51991115,15.66317383,Day,yellow4
26,121,760,732149.8014,81,73,63.12220762,254.5,281,345.0381078,19.23444,183,-0.255,2004018,53.77018541,15.09886253,4.13557747,6.712312853,12.52212715,15.66317383,Day,yellow4
25,112,696,732151.7243,72,122,59.74318508,238,95,291.384505,17.383344,170,-0.27,2004018,55.69305581,15.19336567,2.18997833,6.744055723,10.63928828,15.59433754,Day,yellow4
35,95,480,732153.8772,78,62,73.17879418,294,304,282.6226611,21.052224,189,-0.27,2004018,57.84592574,15.27032984,5.78189416,6.765603646,14.28662035,15.52843288,Day,yellow4
30,121,728,732153.9209,83,25,59.2345679,277.5,408.5,322.3717421,22.10112,193,-0.25,2004018,57.88962978,15.27032984,6.83079016,6.765603646,15.33551635,15.52843288,Day,yellow4
31,86,440,732153.9448,59,35,54.26077098,270.5,389,333.9455782,22.674456,181,-0.26,2004018,57.91351837,15.27032984,7.40412616,6.765603646,15.90885235,15.52843288,Day,yellow4
28,116,704,732153.97,83,61,61.28085106,265,348,320.9865248,23.281104,189,-0.26,2004018,57.93879659,15.27032984,8.01077416,6.765603646,16.51550035,15.52843288,Day,yellow4
26,117,728,732154.766,75,24,62.61454047,241,438,284.3840878,18.383328,180,-0.27,2004018,58.73472241,15.30337677,3.07995123,6.771213764,11.61211424,15.50088392,Day,yellow4
25,129,832,732154.783,79,20,61.57623049,240,481.5,298.7394958,18.792216,179,-0.265,2004018,58.75175881,15.30337677,3.48883923,6.771213764,12.02100224,15.50088392,Day,yellow4
27,120,744,732154.804,77,185,61.67651007,272.5,0,303.9067114,19.296672,185,-0.235,2004018,58.772778,15.30337677,3.99329523,6.771213764,12.52545824,15.50088392,Day,yellow4
26,132,848,732154.8247,85,32,62.98822144,250.5,514.5,305.2661955,19.792224,196,-0.25,2004018,58.79342641,15.30337677,4.48884723,6.771213764,13.02101024,15.50088392,Day,yellow4
27,144,936,732154.8494,83,120,57.68623266,249.5,114.5,371.1723586,20.385552,189,-0.235,2004018,58.818148,15.30337677,5.08217523,6.771213764,13.61433824,15.50088392,Day,yellow4
26,110,672,732155.9777,95,53,62.80683507,238,375.5,321.6760773,23.465544,194,-0.265,2004018,59.94648141,15.32581813,8.13972587,6.776831176,16.68871282,15.47345441,Day,yellow4
29,122,744,732155.9989,93,71,65.70872483,253,324.5,320.1557047,23.97444,193,-0.245,2004018,59.96768519,15.32581813,8.64862187,6.776831176,17.19760882,15.47345441,Day,yellow4
28,135,856,732156.0228,93,80,71.59509918,251.5,250.5,332.201867,0.547776,193,-0.23,2004018,59.99157359,15.32581813,-14.77804213,6.776831176,-6.229055176,15.47345441,Day,yellow4
32,120,704,732156.0519,86,117,63.56595745,274,115.5,385.8588652,1.245552,195,-0.22,2004018,60.02064796,15.32581813,-14.08026613,6.776831176,-5.531279176,15.47345441,Day,yellow4
23,117,752,732156.7972,94,49,68.98007968,195,314,270.0358566,19.132224,185,-0.255,2004018,60.76592563,15.34819214,3.78403186,6.776836609,12.35538739,15.45101848,Day,yellow4
28,99,568,732156.8181,92,29,65.07557118,235.5,397,280.7398946,19.634448,189,-0.245,2004018,60.78685159,15.34819214,4.28625586,6.776836609,12.85761139,15.45101848,Day,yellow4
24,132,864,732156.8399,87,45,69.39768786,227,418,283.5289017,20.156664,185,-0.25,2004018,60.80861122,15.34819214,4.80847186,6.776836609,13.37982739,15.45101848,Day,yellow4
27,120,744,732156.8636,87,196,72.55973154,245,0,286.0604027,20.72556,189,-0.235,2004018,60.832315,15.34819214,5.37736786,6.776836609,13.94872339,15.45101848,Day,yellow4
25,94,552,732156.8875,92,29,75.960217,238,691,288.1826401,21.298896,193,-0.23,2004018,60.85620381,15.34819214,5.95070386,6.776836609,14.52205939,15.45101848,Day,yellow4
27,109,656,732156.9115,89,194,65.72450533,259,0,387.2564688,21.876672,196,-0.22,2004018,60.880278,15.34819214,6.52847986,6.776836609,15.09983539,15.45101848,Day,yellow4
25,90,520,732157.0928,86,41,69.03646833,238.5,406.5,277.6266795,2.227776,191,-0.26,2004018,61.06157381,15.34819214,-13.12041614,6.776836609,-4.549060609,15.45101848,Day,yellow4
29,117,704,732157.1148,83,147,61.24964539,245,22.5,368.1014184,2.754456,187,-0.225,2004018,61.08351819,15.34819214,-12.59373614,6.776836609,-4.022380609,15.45101848,Day,yellow4
27,139,896,732158.0089,84,189,61.8238573,242.5,1.5,340.4671126,0.21444,194,-0.225,2004018,61.977685,15.36965416,-15.15521416,6.77684193,-6.56240193,15.42864979,Day,yellow4
30,137,856,732158.0324,81,144,62.35239207,258.5,0.5,366.8815636,0.776664,195,-0.225,2004018,62.00111078,15.36965416,-14.59299016,6.77684193,-6.00017793,15.42864979,Day,yellow4
25,94,552,732158.8139,79,20,62.43942134,244.5,464.5,285.6329114,19.53444,175,-0.245,2004018,62.78268481,15.38322126,4.15121874,6.769665735,12.76477427,15.40001157,Day,yellow4
26,129,824,732158.8328,81,40,63.31515152,244.5,316,291.0654545,19.987776,193,-0.245,2004018,62.80157441,15.38322126,4.60455474,6.769665735,13.21811027,15.40001157,Day,yellow4
28,141,904,732158.8549,78,21,62.39558011,259,688,316.5966851,20.516664,190,-0.235,2004018,62.82361159,15.38322126,5.13344274,6.769665735,13.74699827,15.40001157,Day,yellow4
23,167,1152,732158.8792,89,156,62.10494363,239.5,29,362.4431917,21.101112,172,-0.23,2004018,62.84796263,15.38322126,5.71789074,6.769665735,14.33144627,15.40001157,Day,yellow4
26,117,728,732158.9063,80,27,66.00960219,252,653.5,363.159808,21.752232,185,-0.22,2004018,62.87509241,15.38322126,6.36901074,6.769665735,14.98256627,15.40001157,Day,yellow4
26,81,440,732159.0629,80,27,82.34920635,259.5,634.5,244.8945578,1.510008,194,-0.23,2004018,63.03166641,15.38322126,-13.87321326,6.769665735,-5.259657735,15.40001157,Day,yellow4
107,139,256,732159.089,77,16,61.75486381,244.5,443,394.233463,2.136672,190,-0.22,2004018,63.05777741,15.38322126,-13.24654926,6.769665735,-4.632993735,15.40001157,Day,yellow4
25,117,736,732159.7478,71,91,53.55630936,246.5,149.5,296.3561737,17.947776,166,-0.235,2004018,63.71657381,15.40082704,2.54694896,6.762560487,11.18521551,15.37933922,Day,yellow4
27,133,848,732159.7696,70,23,51.51825677,266,418,307.8262662,18.469992,183,-0.23,2004018,63.738333,15.40082704,3.06916496,6.762560487,11.70743151,15.37933922,Day,yellow4
26,140,912,732159.7924,70,17,49.58707558,260,425.5,346.33954,19.016664,184,-0.235,2004018,63.76111141,15.40082704,3.61583696,6.762560487,12.25410351,15.37933922,Day,yellow4
23,144,968,732159.8168,76,30,57.21568627,250,546.5,359.627451,19.603344,192,-0.23,2004018,63.78555563,15.40082704,4.20251696,6.762560487,12.84078351,15.37933922,Day,yellow4
27,127,800,732159.8413,72,17,53.77902622,283,484,412.4662921,20.192232,197,-0.235,2004018,63.810093,15.40082704,4.79140496,6.762560487,13.42967151,15.37933922,Day,yellow4
30,92,496,732160.015,79,93,71.95171026,290.5,201,286.0653924,0.358896,189,-0.205,2004018,63.98370378,15.40082704,-15.04193104,6.762560487,-6.403664487,15.37933922,Day,yellow4
28,112,672,732160.0486,79,48,67.59881129,288.5,394,337.2414562,1.16556,152,-0.215,2004018,64.01731459,15.40082704,-14.23526704,6.762560487,-5.597000487,15.37933922,Day,yellow4
24,139,920,732160.7195,80,46,62.0640608,228,336,278.5521173,17.267784,183,-0.23,2004018,64.68824122,15.41847337,1.84931063,6.751266201,10.5165178,15.35043916,Day,yellow4
26,135,872,732160.7388,79,72,57.20160367,237,293.5,301.908362,17.73,182,-0.23,2004018,64.70750041,15.41847337,2.31152663,6.751266201,10.9787338,15.35043916,Day,yellow4
25,134,872,732160.7606,78,56,57.36311569,250,366.5,312.9501718,18.254448,180,-0.235,2004018,64.72935181,15.41847337,2.83597463,6.751266201,11.5031818,15.35043916,Day,yellow4
27,125,784,732160.7816,76,30,60.98726115,267,575,313.5197452,18.75888,195,-0.235,2004018,64.75037,15.41847337,3.34040663,6.751266201,12.0076138,15.35043916,Day,yellow4
33,118,680,732160.8036,68,69,54.1732746,311,275,380.6226138,19.28556,198,-0.225,2004018,64.77231456,15.41847337,3.86708663,6.751266201,12.5342938,15.35043916,Day,yellow4
27,126,792,732160.826,75,20,57.96343001,290.5,700,414.8820933,19.823328,195,-0.215,2004018,64.794722,15.41847337,4.40485463,6.751266201,13.0720618,15.35043916,Day,yellow4
26,95,552,732160.9838,87,151,77.73056058,268,18,275.1030741,23.61,204,-0.23,2004018,64.95250041,15.41847337,8.19152663,6.751266201,16.8587338,15.35043916,Day,yellow4
28,77,392,732161.0004,80,88,77.17302799,296,250.5,274.7798982,0.010008,197,-0.215,2004018,64.96916659,15.41847337,-15.40846537,6.751266201,-6.741258201,15.35043916,Day,yellow4
26,91,520,732161.0178,87,23,65.99808061,268,637,325.0863724,0.427776,186,-0.225,2004018,64.98657441,15.41847337,-14.99069737,6.751266201,-6.323490201,15.35043916,Day,yellow4
28,99,568,732161.0373,81,47,60.42706503,282,393.5,376.6353251,0.894456,186,-0.2,2004018,65.00601859,15.41847337,-14.52401737,6.751266201,-5.856810201,15.35043916,Day,yellow4
28,104,608,732161.7016,66,33,64.00328407,270.5,363.5,263.3284072,16.83888,168,-0.215,2004018,65.67037059,15.4394621,1.3994179,6.740020461,10.09885954,15.32154709,Day,yellow4
28,118,720,732161.7323,71,55,62.4257975,269,362.5,287.1074896,17.574456,181,-0.245,2004018,65.70101859,15.4394621,2.1349939,6.740020461,10.83443554,15.32154709,Day,yellow4
25,110,680,732161.7486,77,29,66.7856094,257,622,285.1409692,17.96556,184,-0.225,2004018,65.71731481,15.4394621,2.5260979,6.740020461,11.22553954,15.32154709,Day,yellow4
26,91,520,732161.7668,79,21,64.18234165,260,703,320.4318618,18.403344,194,-0.24,2004018,65.73555541,15.4394621,2.9638819,6.740020461,11.66332354,15.32154709,Day,yellow4
28,124,768,732161.7851,76,18,58.0260078,282,675,407.9486346,18.843336,173,-0.205,2004018,65.75388859,15.4394621,3.4038739,6.740020461,12.10331554,15.32154709,Day,yellow4
31,85,432,732161.9358,79,55,76.30946882,303,384,285.6050808,22.458888,192,-0.205,2004018,65.90453737,15.4394621,7.0194259,6.740020461,15.71886754,15.32154709,Day,yellow4
30,89,472,732161.9527,81,54,77.76109937,297,380.5,290.4059197,22.865544,195,-0.22,2004018,65.92148178,15.4394621,7.4260819,6.740020461,16.12552354,15.32154709,Day,yellow4
22,73,408,732163.7091,83,25,88.25672372,191.5,382,181.9437653,17.01888,172,-0.23,2004018,67.67787004,15.4866159,1.5322641,6.715081675,10.30379833,15.25459304,Day,yellow4
26,105,632,732163.7396,81,75,65.58293839,227.5,251,267.7962085,17.749992,186,-0.235,2004018,67.70833341,15.4866159,2.2633761,6.715081675,11.03491033,15.25459304,Day,yellow4
48,124,608,732163.7579,63,70,54.34811166,295,298,309.4499179,18.190008,194,-0.235,2004018,67.72666644,15.4866159,2.7033921,6.715081675,11.47492633,15.25459304,Day,yellow4
30,148,944,732163.7759,73,98,58.9015873,272.5,157.5,329.2312169,18.62112,184,-0.21,2004018,67.74462978,15.4866159,3.1345041,6.715081675,11.90603833,15.25459304,Day,yellow4
28,126,784,732163.7984,76,20,56.47515924,267,667,363.9248408,19.16112,193,-0.23,2004018,67.76712959,15.4866159,3.6745041,6.715081675,12.44603833,15.25459304,Day,yellow4
30,144,912,732163.821,71,57,60.50054765,291.5,369.5,387.9134721,19.703328,194,-0.215,2004018,67.78972178,15.4866159,4.2167121,6.715081675,12.98824633,15.25459304,Day,yellow4
34,108,592,732163.9434,74,39,62.62394604,304,344.5,308.1720067,22.64112,200,-0.215,2004018,67.91212915,15.4866159,7.1545041,6.715081675,15.92603833,15.25459304,Day,yellow4
29,117,704,732163.9687,75,16,54.4070922,292,619.5,389.9737589,23.247768,150,-0.215,2004018,67.93740719,15.4866159,7.7611521,6.715081675,16.53268633,15.25459304,Day,yellow4
31,121,720,732164.1641,60,17,57.11789182,290.5,606,314.3016644,3.93888,185,-0.215,2004018,68.13287037,15.4866159,-11.5477359,6.715081675,-2.776201675,15.25459304,Day,yellow4
28,134,848,732164.7338,72,27,74.15547703,231.5,380,243.7290931,17.61,174,-0.24,2004018,68.70249959,15.51277713,2.09722287,6.704090762,10.90590924,15.21747486,Day,yellow4
31,137,848,732164.7825,74,56,70.38751472,250,349,267.4157833,18.778896,188,-0.215,2004018,68.75120337,15.51277713,3.26611887,6.704090762,12.07480524,15.21747486,Day,yellow4
29,129,800,732165.7729,68,43,57.28214732,265.5,302.5,303.1086142,18.550008,180,-0.22,2004018,69.74166619,15.54030988,3.00969812,6.69311084,11.85689716,15.18033371,Day,yellow4
29,139,880,732165.82,72,18,54.82292849,279,644.5,366.0567537,19.681104,182,-0.205,2004018,69.78879619,15.54030988,4.14079412,6.69311084,12.98799316,15.18033371,Day,yellow4
28,118,720,732165.8456,71,96,56.16504854,267.5,149.5,382.09362,20.294448,187,-0.205,2004018,69.81435159,15.54030988,4.75413812,6.69311084,13.60133716,15.18033371,Day,yellow4
28,102,592,732166.7286,71,58,59.26644182,239,307,278.005059,17.48556,175,-0.22,2004018,70.69731459,15.5676292,1.9179308,6.682430863,10.80312914,15.14212098,Day,yellow4
28,151,984,732166.7506,77,18,69.70050761,237.5,619.5,282.5060914,18.014448,181,-0.235,2004018,70.71935159,15.5676292,2.4468188,6.682430863,11.33201714,15.14212098,Day,yellow4
23,105,656,732167.7179,85,140,58.04870624,207.5,49.5,323.3805175,17.230008,143,-0.22,2004018,71.68666663,15.59544471,1.63456329,6.671787122,10.55822088,15.10415792,Day,yellow4
